RT	_end_tick	_end_time	_original_idx	_start_tick	_start_time	_trial_number	correct	feedback	fix_onset_time	go_time	hemifield	hit_x	hit_y	hit_z	pro	reach_time	start_time	target
1044.2405000000144	223.63470619999998	216812.44150000002	20	220.23167899999999	213409.4146	21	True	0	220565.2984	222586.10919999998	left	-0.3031330704689026	1.2881900072097778	0.4508626461029053	1	223630.3497	225073.587	left
1488.5913	228.6007622	221778.4982	21	225.0736088	218251.34449999998	22	True	1	225084.9891	227106.86849999998	left	-0.2903991937637329	1.273496150970459	0.4501819610595703	0	228595.45979999998	229960.83969999998	right
1621.7853000000177	233.60870269999998	226786.4381	22	229.9608625	223138.598	23	True	1	229972.26609999998	231982.327	left	-0.2922140955924988	1.284737229347229	0.4507408142089844	1	233604.1123	234802.67179999998	left
1388.563599999994	238.2286585	231406.3938	23	234.8026923	227980.42799999999	24	True	0	234814.1191	236835.8007	left	-0.2987339496612549	1.3046067953109741	0.4509085416793823	1	238224.3643	239367.6652	left
1454.961900000024	242.86020599999998	236037.94139999998	24	239.36768909999998	232545.4246	25	True	1	239378.9673	241400.76429999998	left	-0.2621440887451172	1.293114185333252	0.45318925380706787	0	242855.7262	243809.90099999998	right
1277.3536000000022	247.6019785	240779.7139	25	243.8099251	236987.66069999998	26	True	0	244299.14939999997	246320.4135	left	-0.2799217104911804	1.2883824110031128	0.4520324468612671	1	247597.7671	248717.8471	left
1066.6592000000237	252.3011459	245478.8813	26	248.71787129999998	241895.60689999998	27	True	0	249219.1757	251229.54369999998	right	0.31248384714126587	1.3166757822036743	0.45664453506469727	1	252296.2029	253572.4156	right
1177.6310999999987	257.2200209	250397.75689999998	27	253.57243989999998	246750.17539999998	28	True	0	254016.9847	256038.2672	right	0.30615901947021484	1.3152549266815186	0.45777010917663574	0	257215.8983	258525.555	left
878.3154000000213	261.7069962	254884.7317	28	258.5255775	251703.31329999998	29	True	1	258803.62739999997	260824.51129999998	right	0.318087100982666	1.3387367725372314	0.45172715187072754	0	261702.8267	262623.9845	left
1055.1271999999299	265.9827613	259160.49670000002	29	262.6240071	255801.7426	30	True	0	262901.8268	264923.4993	right	0.3174801468849182	1.3074911832809448	0.45385003089904785	1	265978.62649999995	267106.0742	right
1010.8798000000534	270.1481529	263325.8884	30	267.1060959	260283.83129999996	31	True	0	267117.4295	269132.5142	left	-0.2193007469177246	1.2686607837677002	0.45199596881866455	0	270143.39400000003	271142.2818	right
1044.4109999999637	274.2238567	267401.59260000003	31	271.14230349999997	264320.0394	32	True	1	271153.57749999996	273175.01670000004	left	-0.28715842962265015	1.245629072189331	0.4520223140716553	1	274219.4277	275640.3685	left
811.0300000000279	278.7110697	271888.8052	32	275.6403901	268818.12559999997	33	True	1	275884.6735	277895.4308	right	0.3030693531036377	1.3085111379623413	0.45652031898498535	0	278706.4608	280249.22829999996	left
988.5638000000617	283.2752785	276453.01389999996	33	280.24925079999997	273426.9864	34	True	1	280260.59319999994	282282.25599999994	left	-0.2680259943008423	1.2790316343307495	0.4500466585159302	0	283270.8198	284180.93239999993	right
1100.217900000047	287.3183845	280496.1201	34	284.1809543	277358.6898	35	True	0	284192.2096	286213.55929999996	right	0.2759930491447449	1.3260241746902466	0.45659542083740234	0	287313.7772	288334.5748	left
1466.3449000000255	292.1375218	285315.2576	35	288.3346045	281512.33999999997	36	True	1	288645.7178	290667.1909	left	-0.26534271240234375	1.3225563764572144	0.45154714584350586	1	292133.5358	293166.04789999995	left
766.3522999999695	296.2467905	289424.526	36	293.1660713	286343.80700000003	37	True	0	293454.9897	295476.2926	right	0.33010321855545044	1.329720377922058	0.453855037689209	0	296242.64489999996	297163.9787	left
1154.799299999955	300.6002512	293777.9867	37	297.1640026	290341.738	38	True	0	297420.0441	299441.2036	left	-0.3080368638038635	1.2965948581695557	0.4515068531036377	1	300596.00289999996	301472.9069	left
1033.2934999999707	304.8213647	297999.1006	38	301.4729282	294650.6637	39	True	0	301762.006	303783.7467	left	-0.2833237051963806	1.3118300437927246	0.4505593776702881	0	304817.0402	305926.532	right
799.4993999999715	309.02992489999997	302207.6604	39	305.92655659999997	299104.2921	40	True	0	306204.55079999997	308226.1506	right	0.31446194648742676	1.316968321800232	0.45622432231903076	0	309025.64999999997	310202.5325	left
889.203600000008	313.40676379999996	306584.4997	40	310.2025533	303380.28910000005	41	True	0	310492.0616	312513.2985	right	0.3620091676712036	1.3209660053253174	0.45395970344543457	1	313402.5021	314511.55439999996	right
1077.4777000000468	317.9152901	311093.0257	41	314.511576	307689.31179999997	42	True	0	314811.63	316833.35599999997	left	-0.2989817261695862	1.2840576171875	0.45063209533691406	1	317910.8337	318898.37039999996	left
888.4587000000174	322.27951959999996	315457.25499999995	42	318.8983995	312076.1351	43	True	1	319365.5577	321386.98039999994	right	0.3206334114074707	1.3132933378219604	0.45100295543670654	0	322275.43909999996	323241.4	left
788.9435000000522	326.50013809999996	319677.8734	43	323.2414228	316419.1583	44	True	0	323685.716	325707.14469999995	right	0.29019010066986084	1.3059002161026	0.45514392852783203	0	326496.0882	327483.68429999996	left
1155.322600000014	330.9424735	324120.209	44	327.48370819999997	320661.44379999995	45	True	0	327761.77329999994	329783.1134	right	0.385776162147522	1.3234723806381226	0.45131373405456543	1	330938.436	332081.3296	right
1076.7826999999816	335.450827	328628.56269999995	45	332.0813566	325259.09209999995	46	True	1	332359.07149999996	334369.9997	left	-0.2630309462547302	1.3083378076553345	0.45022666454315186	1	335446.78239999997	336690.92319999996	left
823.368199999968	339.7945335	332972.26920000004	46	336.6909465	329868.6823	47	True	1	336946.627	338967.1777	right	0.3260270357131958	1.32260000705719	0.4524204730987549	0	339790.54589999997	341011.15799999994	left
989.2879000000539	344.0480293	337225.7648	47	341.0111791	334188.9145	48	True	1	341033.7282	343054.58759999997	right	0.328993558883667	1.3209543228149414	0.4505878686904907	1	344043.8755	345353.2072	right
844.445299999963	348.63633	341814.0654	48	345.3532302	338530.9656	49	True	0	345776.21119999996	347786.5269	left	-0.21079275012016296	1.3091177940368652	0.45197606086730957	1	348630.97219999996	349762.6267	left
844.3208999999915	352.6441105	345821.846	49	349.76264929999996	342940.3851	50	True	1	349774.0002	351795.6097	right	0.3064550757408142	1.3106591701507568	0.454065203666687	0	352639.93059999996	354027.42939999996	left
810.9121000000159	357.1083597	350286.0952	50	354.0274518	347205.1872	51	True	1	354272.30309999996	356293.4003	right	0.3900851607322693	1.3282335996627808	0.45061349868774414	1	357104.3124	358247.8806	right
844.6939999999595	361.44065209999997	354618.38820000004	51	358.2479069	351425.64249999996	52	True	1	358570.2412	360591.5808	left	-0.2525579333305359	1.306623935699463	0.45062172412872314	1	361436.27479999996	362190.4331	left
833.4100999999791	365.0605799	358238.3153	52	362.1904552	355368.19070000004	53	True	0	362201.74789999996	364223.1002	right	0.2859876751899719	1.3067975044250488	0.45102357864379883	0	365056.51029999997	366233.11939999997	left
800.5455000000075	369.0698982	362247.63359999994	53	366.23315529999996	359410.8911	54	True	0	366244.4253	368265.32599999994	right	0.33302897214889526	1.3080559968948364	0.4530736207962036	1	369065.87149999995	370097.827	right
977.4608000000007	373.3907834	366568.519	54	370.0978485	363275.5844	55	True	1	370386.9848	372408.8108	left	-0.25250160694122314	1.2805955410003662	0.45101141929626465	0	373386.2716	374151.9139	right
899.8972999999532	377.2219205	370399.65619999997	55	374.1519434	367329.679	56	True	1	374296.48049999995	376317.9169	left	-0.27657240629196167	1.2986973524093628	0.45180392265319824	1	377217.81419999996	378038.5145	left
844.5608999999822	381.1874214	374365.1569	56	378.0385366	371216.272	57	True	0	378327.4885	380338.3199	right	0.2745797038078308	1.3175605535507202	0.4542640447616577	0	381182.8808	382181.7173	left
910.9834000000264	385.1293824	378307.1177	57	382.1817415	375359.477	58	True	1	382193.0784	384214.4224999999	right	0.31205886602401733	1.313425898551941	0.4518561363220215	1	385125.40589999995	386235.1289	right
888.6786000000429	389.4385641	382616.29959999997	58	386.2351523	379412.8882	59	True	0	386524.3574	388545.6686	left	-0.24123984575271606	1.2911150455474854	0.4520813226699829	0	389434.3472	390266.9054	right
1077.7644000000437	393.3811404	386558.8759	59	390.266927	383444.66290000005	60	True	0	390278.16689999995	392299.3058	left	-0.2639157176017761	1.2785699367523193	0.4532618522644043	1	393377.0702	394354.06059999997	left
1010.8940000000293	397.66827029999996	390846.0058	60	394.3540814	387531.81680000003	61	True	0	394631.94529999996	396653.3012	left	-0.29365915060043335	1.2894999980926514	0.4518319368362427	1	397664.1952	398662.69389999995	left
1633.1471000000602	402.3219123	395499.6478	61	398.6627166	391840.4524	62	True	1	398674.2592	400684.54179999995	left	-0.32024091482162476	1.2989035844802856	0.45241761207580566	1	402317.6889	403460.90189999994	left
844.040800000017	406.3417934	399519.52920000005	62	403.46092389999995	396638.6595	63	True	1	403472.3012	405493.7551	right	0.366765558719635	1.3455970287322998	0.4507901668548584	1	406337.7959	407469.84219999996	right
977.5989000000409	410.773801	403951.5368	63	407.46986549999997	400647.6014	64	True	0	407781.8539	409791.91319999995	left	-0.26263427734375	1.2950899600982666	0.4520937204360962	0	410769.5121	411657.36699999997	right
1144.374599999981	414.8383354	408016.07159999997	64	411.6573894	404835.1249	65	True	0	411668.73169999995	413689.8589	left	-0.20675432682037354	1.2979199886322021	0.45030391216278076	0	414834.2335	416066.4276	right
978.6284999999916	419.3252402	412502.97599999997	65	416.0664505	409244.186	66	True	1	416322.22179999994	418342.60589999997	left	-0.2955767512321472	1.2777459621429443	0.45280981063842773	1	419321.23439999996	420086.50269999995	left
888.7777999999234	423.0244308	416202.1666	66	420.0865249	413264.2604	67	True	0	420120.0288	422131.2135	right	0.332518994808197	1.3015484809875488	0.4520094394683838	0	423019.99129999994	424007.4967	left
767.1828000000096	427.1453439	420323.0795	67	424.00751909999997	417185.2546	68	True	0	424351.9113	426373.0589	left	-0.258105993270874	1.2925792932510376	0.45546555519104004	0	427140.2417	427972.23579999997	right
977.6967999999761	431.2089473	424386.6831	68	427.9722571	421149.99319999997	69	True	0	428205.7629	430227.1075	left	-0.2649930715560913	1.2740178108215332	0.45220422744750977	0	431204.80429999996	431344.69099999993	right
977.6245999999228	434.7074373	427885.1732	69	431.34471149999996	424522.4472	70	True	0	431714.2804	433725.7578	left	-0.26020485162734985	1.2765110731124878	0.45264101028442383	0	434703.38239999994	435701.8941	right
1177.4556999999913	438.91655449999996	432094.2903	70	435.7019143	428879.6497	71	True	0	435713.2047	437734.99039999995	right	0.37086713314056396	1.3014075756072998	0.45593178272247314	1	438912.44609999994	439977.68059999996	right
888.6971999999369	443.1928191	436370.5546	71	439.9777021	433155.4377	72	True	1	440278.35899999994	442299.5514	left	-0.2710840702056885	1.3072949647903442	0.45153212547302246	0	443188.24859999993	444220.3186	right
943.7763999999734	447.19056509999996	440368.30090000003	72	444.22033999999996	437398.07560000004	73	True	1	444231.7107	446242.5589	right	0.2771148085594177	1.2975295782089233	0.45490455627441406	0	447186.3353	447684.2759	left
778.3411000000197	450.9779931	444155.7292	73	447.6842969	440862.0322	74	True	0	448174.5967	450195.40709999995	right	0.3225552439689636	1.275345802307129	0.45712971687316895	1	450973.7482	451280.21099999995	right
1099.660600000003	454.4100921	447587.8278	74	451.28023379999996	444457.9695	75	True	1	451291.65989999997	453306.1443	left	-0.2517545223236084	1.2938587665557861	0.4504554271697998	0	454405.8049	455693.0685	right
999.6907000000356	458.73050229999996	451908.2376	75	455.6930913	448870.8268	76	True	1	455704.54439999996	457726.0815	left	-0.2761639952659607	1.2810521125793457	0.4510366916656494	0	458725.7722	459735.8066	right
755.2017000000342	462.81694969999995	455994.6852	76	459.73582769999996	452913.56330000004	77	True	0	460035.9866	462057.2447	right	0.33177947998046875	1.2627156972885132	0.4517488479614258	1	462812.4464	464055.8555	right
966.5359999999637	467.04867579999996	460226.4116	77	464.0558769	457233.61240000004	78	True	0	464067.4014	466077.8709	left	-0.2274424433708191	1.2923985719680786	0.4558677673339844	0	467044.40689999994	467965.2384	right
1288.5678999999654	471.39063439999995	464568.37	78	467.9652599	461142.99549999996	79	True	1	468076.6086999999	470097.9987	left	-0.27716290950775146	1.2855631113052368	0.45101094245910645	1	471386.56659999996	472296.6392	left
1199.6220999999787	475.82197499999995	468999.71040000004	79	472.2966611	465474.39650000003	80	True	1	472597.0081	474618.4603	left	-0.264747679233551	1.3221267461776733	0.4516141414642334	0	475818.08239999996		right
